product_asin,product_title,brand,category,subcategory,price,original_price,discount_percentage,rating,review_count,prime_eligible,bestseller_rank,release_date,dimensions,weight,color_options,size_options,commission_rate,affiliate_fee_structure,product_description,key_features,target_audience,seasonal_trend,inventory_status
B08N5WRWNW,Echo Dot (4th Gen) Smart speaker with Alexa,Amazon,Electronics,Smart Home,49.99,49.99,0,4.7,125847,Yes,1,2020-10-22,3.9 x 3.9 x 3.5 inches,0.75 lbs,"Charcoal,Glacier White,Twilight Blue","One Size",0.04,Fixed,"Compact smart speaker with Alexa voice control","Voice control,Music streaming,Smart home hub,Compact design",Tech enthusiasts,Holiday peak,In Stock
B07FZ8S74R,Fire TV Stick 4K streaming device,Amazon,Electronics,Streaming Devices,39.99,49.99,20,4.5,89234,Yes,2,2018-10-31,4.3 x 0.6 x 0.5 inches,0.21 lbs,Black,"One Size",0.04,Fixed,"4K Ultra HD streaming stick with Alexa Voice Remote","4K streaming,Alexa remote,Dolby Vision,HDR10+",Cord cutters,Year-round,In Stock
B08C1W5N87,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Instant Pot,Kitchen,Pressure Cookers,79.95,99.95,20,4.6,67892,Yes,1,2020-08-01,13.0 x 12.5 x 12.8 inches,11.8 lbs,"Stainless Steel,Black","3Qt,6Qt,8Qt",0.03,Tiered,"Multi-functional electric pressure cooker","7-in-1 functionality,Pressure cook,Slow cook,Rice cooker",Home cooks,Back-to-school,In Stock
B07HGJKL12,Apple AirPods Pro (2nd Generation),Apple,Electronics,Audio,249.00,249.00,0,4.4,45678,Yes,3,2022-09-23,1.22 x 0.86 x 0.94 inches,0.19 lbs,White,"One Size",0.02,Fixed,"Wireless earbuds with active noise cancellation","Active noise cancellation,Spatial audio,Transparency mode,Wireless charging",Apple users,Holiday peak,In Stock
B09MNOP345,Ninja Foodi Personal Blender,Ninja,Kitchen,Blenders,79.99,99.99,20,4.3,23456,Yes,5,2021-03-15,5.5 x 5.5 x 15.5 inches,4.6 lbs,"Black,Gray","18oz,24oz",0.03,Tiered,"Personal blender for smoothies and shakes","Single-serve,Nutrient extraction,BPA-free,Dishwasher safe",Health conscious,New Year,In Stock
B08QRST678,Ring Video Doorbell 4,Ring,Home Security,Video Doorbells,199.99,229.99,13,4.2,34567,Yes,1,2021-04-08,5.1 x 2.4 x 0.8 inches,0.77 lbs,"Satin Nickel,Venetian Bronze","One Size",0.02,Fixed,"Smart video doorbell with advanced motion detection","1080p HD video,Two-way talk,Motion alerts,Night vision",Homeowners,Spring,In Stock
B07TUVW901,Fitbit Charge 5 Fitness Tracker,Fitbit,Health & Fitness,Fitness Trackers,149.95,199.95,25,4.1,56789,Yes,2,2021-09-27,1.4 x 0.9 x 0.4 inches,0.64 oz,"Black,Lunar White,Steel Blue","S,L",0.025,Tiered,"Advanced fitness tracker with built-in GPS","Built-in GPS,Heart rate monitoring,Sleep tracking,6-month Fitbit Premium",Fitness enthusiasts,New Year,In Stock
B09XYZ234,Sony WH-1000XM4 Wireless Headphones,Sony,Electronics,Headphones,348.00,399.99,13,4.6,78901,Yes,1,2020-08-06,9.94 x 7.27 x 3.03 inches,0.56 lbs,"Black,Silver,Blue,Midnight Blue","One Size",0.02,Fixed,"Industry-leading noise canceling wireless headphones","Noise canceling,30-hour battery,Touch controls,Speak-to-chat",Audiophiles,Year-round,In Stock
B08ABC567,Keurig K-Mini Coffee Maker,Keurig,Kitchen,Coffee Makers,59.99,79.99,25,4.4,45123,Yes,3,2019-05-15,4.5 x 11.3 x 12.1 inches,4.6 lbs,"Black,Red,Gray,Oasis","One Size",0.03,Tiered,"Single serve coffee maker for K-Cup pods","Single serve,6-12oz brew sizes,Compact design,Auto shut-off",Coffee lovers,Year-round,In Stock
B07DEF890,Anker Portable Charger PowerCore 10000,Anker,Electronics,Portable Chargers,25.99,29.99,13,4.5,67234,Yes,1,2019-01-10,3.62 x 2.36 x 0.87 inches,0.63 lbs,"Black,White,Blue,Red","10000mAh,20000mAh",0.04,Fixed,"Ultra-compact portable charger with high-speed charging","10000mAh capacity,PowerIQ technology,Compact size,MultiProtect safety",Mobile users,Travel season,In Stock
B09GHI123,Shark Navigator Lift-Away Vacuum,Shark,Home & Garden,Vacuum Cleaners,179.99,229.99,22,4.3,89012,Yes,2,2020-02-14,15 x 11.4 x 45.5 inches,12.5 lbs,"Blue,Purple","One Size",0.025,Tiered,"Upright vacuum with lift-away canister","Lift-away canister,Anti-allergen seal,Swivel steering,Pet hair pickup",Homeowners,Spring cleaning,In Stock
B08JKL456,Roku Ultra 4K Streaming Device,Roku,Electronics,Streaming Devices,99.99,99.99,0,4.4,34567,Yes,4,2020-10-13,9.5 x 5.1 x 0.9 inches,0.7 lbs,Black,"One Size",0.04,Fixed,"Premium 4K streaming device with Dolby Vision","4K/HDR/Dolby Vision,Voice remote,Lost remote finder,Ethernet port",Streaming enthusiasts,Year-round,In Stock
B07MNO789,Cuisinart Air Fryer Toaster Oven,Cuisinart,Kitchen,Air Fryers,199.95,249.95,20,4.2,23890,Yes,3,2020-06-01,15.5 x 16.0 x 14.0 inches,21 lbs,"Stainless Steel,Black","One Size",0.03,Tiered,"Digital air fryer toaster oven with 7 functions","Air fry,Convection bake,Convection broil,Bake,Broil,Warm,Toast",Home cooks,Holiday season,In Stock
B09PQR012,Apple Watch Series 8,Apple,Electronics,Smartwatches,399.00,399.00,0,4.3,45678,Yes,1,2022-09-16,1.73 x 1.50 x 0.41 inches,1.34 oz,"Midnight,Starlight,Silver,Product Red","41mm,45mm",0.02,Fixed,"Advanced smartwatch with health monitoring","Blood oxygen monitoring,ECG,Crash detection,Water resistant",Apple ecosystem users,Holiday peak,In Stock
B08STU345,Dyson V8 Cordless Vacuum,Dyson,Home & Garden,Cordless Vacuums,349.99,449.99,22,4.1,56123,Yes,1,2019-03-20,9.8 x 8.7 x 49.6 inches,5.6 lbs,"Purple,Yellow,Red","One Size",0.025,Tiered,"Lightweight cordless vacuum with powerful suction","Cordless design,40-minute runtime,Whole-machine filtration,Converts to handheld",Busy households,Spring cleaning,In Stock
B07VWX678,Bose QuietComfort 45 Headphones,Bose,Electronics,Noise Cancelling Headphones,329.00,329.00,0,4.4,34789,Yes,2,2021-09-23,7.2 x 6.0 x 3.3 inches,0.53 lbs,"Black,White Smoke","One Size",0.02,Fixed,"Wireless noise cancelling headphones","World-class noise cancellation,22-hour battery,TriPort acoustic architecture,Aware mode",Frequent travelers,Year-round,In Stock
B09YZA901,Ninja Creami Ice Cream Maker,Ninja,Kitchen,Ice Cream Makers,199.99,229.99,13,4.0,12345,Yes,7,2021-08-15,16.5 x 12.4 x 12.9 inches,20 lbs,"Black,White","One Size",0.03,Tiered,"Transform frozen ingredients into ice cream and more","7 one-touch programs,Creamify technology,BPA-free,Dishwasher safe parts",Dessert lovers,Summer peak,In Stock
B08BCD234,Samsung 55" 4K Smart TV,Samsung,Electronics,Smart TVs,497.99,599.99,17,4.3,67890,Yes,5,2020-04-01,48.4 x 27.8 x 2.3 inches,36.4 lbs,Black,"43",50",55",65",75"",0.02,Fixed,"4K UHD Smart TV with Crystal Display","4K Crystal Display,Smart TV powered by Tizen,HDR,Voice control",Entertainment seekers,Black Friday,In Stock
