event_date,category,b2b,status,total_orders,total_items_sold,total_gmv
2024-01-23,Western Dress,False,Cancelled,18,6.0,9479.81
2024-01-23,Top,False,Shipped,68,68.0,33058.0
2024-01-23,Set,False,Shipped,403,403.0,327190.0
2024-01-23,kurta,False,Shipped - Returned to Seller,12,12.0,4990.0
2024-01-23,kurta,False,Shipped - Delivered to Buyer,190,190.0,79199.0
2024-01-23,kurta,True,Cancelled,1,1.0,316.0
2024-01-22,Set,False,Shipped,391,392.0,312515.0
2024-01-22,Western Dress,False,Shipped - Delivered to Buyer,35,35.0,25553.0
2024-01-22,Western Dress,False,Shipped - Returned to Seller,2,2.0,1133.0
2024-01-22,Bottom,False,Cancelled,1,1.0,345.0
2024-01-18,Ethnic Dress,False,Shipped,3,3.0,2627.0
2024-01-18,Set,True,Shipped,3,3.0,2670.0
2024-01-18,kurta,True,Shipped,1,1.0,399.0
2024-01-18,Blouse,False,Cancelled,1,1.0,625.0
2024-01-22,Blouse,False,Shipped,3,3.0,1040.0
2024-01-22,Ethnic Dress,False,Cancelled,2,0.0,951.43
2024-01-21,kurta,False,Shipped,409,408.0,181645.0
2024-01-21,Top,False,Shipped,87,87.0,42815.0
2024-01-21,Blouse,False,Shipped - Delivered to Buyer,10,10.0,5267.0
2024-01-21,Bottom,False,Shipped,7,7.0,2930.0
2024-01-21,Bottom,True,Shipped,1,1.0,518.0
2024-01-21,Ethnic Dress,False,Cancelled,2,1.0,845.0
2024-01-21,Blouse,False,Shipped - Returned to Seller,1,1.0,545.0
2024-01-21,Set,True,Cancelled,1,0.0,0.0
2024-01-20,kurta,False,Shipped - Delivered to Buyer,250,251.0,108238.0
2024-01-20,Top,False,Cancelled,17,5.0,6242.1
2024-01-20,kurta,False,Shipped - Returned to Seller,22,22.0,8510.0
2024-01-17,Western Dress,True,Shipped,1,1.0,807.0
2024-01-17,Saree,False,Shipped,8,8.0,5285.0
2024-01-17,Ethnic Dress,False,Shipped - Delivered to Buyer,1,1.0,388.0
2024-01-16,Western Dress,False,Shipped,75,75.0,52021.0
2024-01-16,Set,False,Cancelled,119,38.0,50369.36
2024-01-16,Blouse,False,Cancelled,6,3.0,2700.15
2024-01-16,Top,True,Shipped,1,1.0,625.0
2024-01-15,Set,False,Shipped - Delivered to Buyer,171,171.0,134740.0
2024-01-15,kurta,False,Cancelled,125,34.0,30094.5
2024-01-15,Set,False,Shipped - Returned to Seller,8,8.0,6241.0
2024-01-15,kurta,True,Shipped,4,4.0,1839.0
2024-01-31,Set,False,Shipped,471,474.0,389763.0
2024-01-31,Western Dress,False,Shipped,104,104.0,74978.0
2024-01-31,Top,False,Cancelled,20,7.0,5291.66
2024-01-30,Set,False,Shipped,409,408.0,330459.0
2024-01-30,Western Dress,False,Shipped - Delivered to Buyer,28,28.0,20749.0
2024-01-30,Top,False,Shipped - Delivered to Buyer,25,25.0,11673.0
2024-01-30,Western Dress,False,Shipped - Returned to Seller,4,4.0,3004.0
2024-01-30,Top,False,Shipped - Returned to Seller,3,3.0,877.0
2024-01-28,Set,False,Cancelled,93,22.0,44294.87
2024-01-28,Top,False,Shipped - Delivered to Buyer,33,33.0,17373.0
2024-01-28,Western Dress,False,Cancelled,18,1.0,9802.82
2024-01-28,kurta,True,Shipped - Delivered to Buyer,2,2.0,949.0
2024-01-28,Top,False,Shipped - Returned to Seller,1,1.0,377.0
2024-01-27,Set,False,Shipped,307,307.0,251149.0
2024-01-27,Blouse,False,Shipped,5,5.0,2594.0
2024-01-25,Set,False,Shipped,404,403.0,335047.0
2024-01-25,Ethnic Dress,False,Shipped,8,8.0,5299.0
2024-01-25,Western Dress,False,Cancelled,24,9.0,11919.34
2024-03-10,kurta,False,Shipped - Returned to Seller,8,8.0,4418.0
2024-03-10,kurta,False,Shipped - Delivered to Buyer,101,101.0,49732.0
2024-03-10,Set,False,Cancelled,94,27.0,45971.52
2024-03-10,Top,False,Cancelled,7,4.0,4374.0
2024-03-08,Western Dress,False,Cancelled,24,8.0,14326.82
2024-03-05,Western Dress,False,Cancelled,25,4.0,11460.009999999998
2024-03-05,Top,False,Shipped,47,47.0,26730.0
2024-03-05,Ethnic Dress,False,Cancelled,4,2.0,1710.0
2024-03-05,Set,True,Shipped - Delivered to Buyer,1,1.0,852.0
2024-03-04,Western Dress,False,Shipped,134,135.0,102031.0
2024-01-30,Blouse,False,Cancelled,1,1.0,460.0
2024-01-29,Blouse,False,Shipped,9,10.0,3669.0
2024-01-29,Saree,False,Shipped,8,8.0,6130.0
2024-01-27,Bottom,False,Shipped,6,6.0,2619.0
2024-01-27,Western Dress,True,Shipped,1,1.0,721.0
2024-01-25,Set,True,Shipped,1,1.0,833.0
2024-01-24,Western Dress,False,Shipped,77,77.0,55705.0
2024-01-24,Set,False,Cancelled,114,49.0,65213.380000000005
2024-01-24,Ethnic Dress,False,Shipped - Delivered to Buyer,8,8.0,5558.0
2024-01-24,Western Dress,True,Shipped - Delivered to Buyer,1,1.0,699.0
2024-01-24,kurta,True,Shipped,2,2.0,871.0
2024-03-08,Set,True,Cancelled,1,0.0,0.0
2024-03-08,Ethnic Dress,False,Shipped - Delivered to Buyer,1,1.0,438.0
2024-03-07,Western Dress,False,Cancelled,25,4.0,12117.9
2024-03-07,Set,False,Shipped - Delivered to Buyer,102,102.0,81250.0
2024-03-07,kurta,False,Shipped,525,524.0,248347.0
2024-03-07,Top,False,Shipped - Delivered to Buyer,18,18.0,11142.0
2024-03-07,Set,False,Shipped - Returned to Seller,9,9.0,7882.0
2024-03-06,kurta,False,Shipped,498,508.0,228182.0
2024-03-03,kurta,False,Shipped,377,378.0,176556.0
2024-03-03,Top,False,Shipped,110,110.0,57664.0
2024-03-01,Blouse,False,Cancelled,4,1.0,816.1
2024-03-01,Western Dress,False,Shipped - Delivered to Buyer,80,80.0,56980.0
2024-01-04,Set,True,Shipped - Delivered to Buyer,1,1.0,758.0
2024-01-04,Saree,False,Shipped,6,6.0,4316.0
2024-01-04,kurta,True,Shipped - Delivered to Buyer,3,3.0,1267.0
2024-01-04,Blouse,False,Shipped - Delivered to Buyer,4,4.0,752.0
2024-01-04,Blouse,False,Shipped - Returned to Seller,1,1.0,869.0
2024-01-04,Ethnic Dress,False,Shipped,5,5.0,2446.0
2024-01-03,Top,False,Shipped,102,102.0,46184.0
2024-01-03,kurta,False,Shipped - Delivered to Buyer,110,109.0,47441.0
2024-01-03,kurta,False,Shipped - Returned to Seller,5,5.0,2108.0
2024-01-02,Western Dress,False,Shipped - Returned to Seller,1,1.0,761.0
2024-01-01,Set,False,Shipped,60,60.0,47217.0
2024-01-01,Western Dress,False,Cancelled,3,0.0,2174.2799999999997
2024-03-01,Western Dress,False,Shipped - Returned to Seller,4,4.0,2883.0
2024-03-01,Set,True,Cancelled,1,0.0,0.0
2024-03-01,Western Dress,False,Shipped - Delivered to Buyer,50,50.0,37741.0
2024-03-01,Western Dress,False,Shipped - Returned to Seller,6,6.0,4761.0
2024-02-29,Set,False,Shipped - Delivered to Buyer,60,60.0,49855.0
2024-02-29,Western Dress,False,Shipped,167,167.0,132442.0
2024-02-29,Saree,False,Shipped,3,3.0,2655.0
2024-02-29,Set,False,Shipped - Returned to Seller,6,6.0,4572.0
2024-02-28,Set,False,Shipped,312,312.0,259907.0
2024-02-26,Top,False,Shipped - Delivered to Buyer,22,22.0,10241.0
2024-02-26,Top,False,Shipped - Returned to Seller,2,2.0,1052.0
2024-02-26,kurta,True,Shipped - Delivered to Buyer,1,1.0,359.0
2024-02-25,Western Dress,False,Shipped,104,104.0,83694.0
2024-02-25,Set,False,Shipped - Delivered to Buyer,68,69.0,52684.0
2024-02-25,Top,False,Shipped,104,104.0,55642.0
2024-02-25,Bottom,False,Shipped - Delivered to Buyer,6,6.0,2249.0
2024-02-25,Set,False,Shipped - Returned to Seller,3,3.0,1916.0
2024-02-25,Ethnic Dress,False,Cancelled,2,1.0,999.0
2024-02-25,Ethnic Dress,True,Shipped - Delivered to Buyer,1,1.0,885.0
2024-02-24,Top,False,Shipped,94,94.0,50309.0
2024-02-24,Ethnic Dress,False,Shipped - Delivered to Buyer,4,4.0,1236.0
2024-02-23,kurta,False,Shipped - Delivered to Buyer,92,93.0,47100.0
2024-02-23,Top,False,Shipped,106,106.0,53712.0
2024-02-23,kurta,False,Shipped - Returned to Seller,6,6.0,2548.0
2024-02-23,Bottom,False,Shipped - Delivered to Buyer,2,2.0,680.0
2024-01-02,Western Dress,False,Shipped - Delivered to Buyer,33,33.0,23801.0
2024-03-01,Blouse,False,Shipped,8,8.0,4494.0
2024-03-01,Ethnic Dress,False,Shipped,8,8.0,5605.0
