conversion_id,click_id,user_id,order_id,timestamp,product_asin,product_title,product_category,order_value,commission_rate,commission_earned,quantity_purchased,conversion_time_hours,customer_type,payment_method,shipping_method,order_status,return_status,customer_lifetime_value,previous_orders_count
CONV001,CLK001,USR10001,ORD2024010001,2024-01-01 10:30:45,B08N5WRWNW,Echo Dot (4th Gen) Smart speaker with Alexa,Electronics,49.99,0.04,2.00,1,2.25,New,Credit Card,Standard,Delivered,None,49.99,0
CONV002,CLK003,USR10003,ORD2024010002,2024-01-01 14:22:18,B08C1W5N87,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Kitchen,79.95,0.03,2.40,1,3.62,Returning,PayPal,Prime,Delivered,None,245.87,3
CONV003,CLK006,USR10006,ORD2024010003,2024-01-01 16:45:22,B08QRST678,Ring Video Doorbell 4,Home Security,199.99,0.02,4.00,1,3.33,New,Credit Card,Express,Delivered,None,199.99,0
CONV004,CLK007,USR10007,ORD2024010004,2024-01-01 18:15:33,B07TUVW901,Fitbit Charge 5 Fitness Tracker,Health & Fitness,149.95,0.025,3.75,1,3.55,Returning,Debit Card,Standard,Delivered,None,389.75,2
CONV005,CLK009,USR10009,ORD2024010005,2024-01-01 19:28:44,B08ABC567,Keurig K-Mini Coffee Maker,Kitchen,59.99,0.03,1.80,1,2.92,New,Credit Card,Prime,Delivered,None,59.99,0
CONV006,CLK011,USR10011,ORD2024020001,2024-01-02 12:30:25,B09GHI123,Shark Navigator Lift-Away Vacuum,Home & Garden,179.99,0.025,4.50,1,3.75,Returning,PayPal,Standard,Delivered,None,456.78,4
CONV007,CLK013,USR10013,ORD2024020002,2024-01-02 15:45:12,B07MNO789,Cuisinart Air Fryer Toaster Oven,Kitchen,199.95,0.03,6.00,1,5.49,New,Credit Card,Express,Delivered,None,199.95,0
CONV008,CLK014,USR10014,ORD2024020003,2024-01-02 17:22:33,B09PQR012,Apple Watch Series 8,Electronics,399.00,0.02,7.98,1,5.99,Returning,Apple Pay,Prime,Delivered,None,1245.67,5
CONV009,CLK015,USR10015,ORD2024020004,2024-01-02 20:15:44,B08STU345,Dyson V8 Cordless Vacuum,Home & Garden,349.99,0.025,8.75,1,6.67,New,Credit Card,Standard,Delivered,None,349.99,0
CONV010,CLK018,USR10018,ORD2024020005,2024-01-02 22:30:15,B08BCD234,Samsung 55" 4K Smart TV,Electronics,497.99,0.02,9.96,1,6.62,Returning,Credit Card,White Glove,Delivered,None,1567.89,3
